Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
513С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
513С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1Л,1,,,384.0,4926.5,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1337.0,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1820.9,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1014.5,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,1820.9,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Л,1,,,188.2,1320.5,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Т,1,,,188.2,1380.1,284
472С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,1У,1,,,384.0,4467.8,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2233.6,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1828.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,2233.6,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
118С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
092С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,218.4,2596.3,284
092С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Э,1,,,1003.5,3381.4,284
092С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
092С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1700.5,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1700.5,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Л,1,,,208.0,1625.9,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Л,1,,,208.0,1625.9,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2Л,1,,,208.0,2233.6,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,1700.5,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,1700.5,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2У,1,,,208.0,1700.5,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Б,1,,,188.2,1486.5,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,3Э,1,,,188.2,1486.5,284
203С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,,1,,,0.0,0.0,284
470С,1,КРАСНОДАР,РОСТОВ-ГЛАВНЫЙ,2К,1,,,208.0,1723.4,284
